date,rank,last-week,peak-rank,weeks-on-board,track_id,album_name,popularity,duration_ms,explicit,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,track_genre,track_name,artists
2013-07-13,89,82.0,32,20,59mrqUmhpmcfUns8BKkV30,Get Wet,53,288880,False,0.671,0.828,9,-2.907,1,0.053,0.00304,0.00287,0.352,0.57,127.976,4,dub,Alive,Krewella
2020-02-29,100,,100,1,1JyC0QIAcBdBZPtrv1glty,pov: it's 2020,0,136906,False,0.53,0.438,3,-7.564,1,0.0372,0.811,0.0,0.212,0.694,117.148,4,pop,All Around Me,Justin Bieber
1965-03-13,40,28.0,7,12,7xQMKG2omICY6LEAmJIfwk,The Anthology 1964 - 1971,41,142480,False,0.551,0.958,7,-2.855,1,0.0834,0.512,0.0,0.0762,0.709,136.867,4,british,All Day And All Of The Night,The Kinks
1965-03-13,40,28.0,7,12,7xQMKG2omICY6LEAmJIfwk,The Anthology 1964 - 1971,41,142480,False,0.551,0.958,7,-2.855,1,0.0834,0.512,0.0,0.0762,0.709,136.867,4,british,All Day And All Of The Night,The Kinks
2016-03-05,77,,77,1,6DEMMeWXfmFAXgDUMMzeg6,25,74,271800,False,0.591,0.28,4,-5.494,1,0.0283,0.889,0.0,0.124,0.348,141.916,4,british,All I Ask,Adele
2016-03-05,77,,77,1,6DEMMeWXfmFAXgDUMMzeg6,25,74,271800,False,0.591,0.28,4,-5.494,1,0.0283,0.889,0.0,0.124,0.348,141.916,4,british,All I Ask,Adele
1961-07-31,96,100.0,49,4,7dblNGnRXEBrVJunazs2U5,The Very Best of The Everly Brothers,67,143333,False,0.534,0.462,4,-8.172,1,0.0266,0.839,0.0,0.129,0.534,96.195,4,r-n-b,All I Have to Do Is Dream,The Everly Brothers
1961-07-31,96,100.0,49,4,7dblNGnRXEBrVJunazs2U5,The Very Best of The Everly Brothers,67,143333,False,0.534,0.462,4,-8.172,1,0.0266,0.839,0.0,0.129,0.534,96.195,4,r-n-b,All I Have to Do Is Dream,The Everly Brothers
1961-07-31,96,100.0,49,4,7dblNGnRXEBrVJunazs2U5,The Very Best of The Everly Brothers,67,143333,False,0.534,0.462,4,-8.172,1,0.0266,0.839,0.0,0.129,0.534,96.195,4,r-n-b,All I Have to Do Is Dream,The Everly Brothers
1990-08-11,98,81.0,2,20,5YjKdeES9QRJ8NmF4Xc8pV,Brigade,67,310893,False,0.626,0.746,7,-8.832,1,0.0282,0.16,0.0,0.0618,0.8,102.896,4,hard-rock,All I Wanna Do Is Make Love To You,Heart
2020-07-04,98,95.0,45,8,038oBXqL9ttCHHZmNrYxQk,Bad Boy Club,0,156032,True,0.836,0.649,11,-6.442,1,0.332,0.0716,0.0,0.0943,0.294,95.084,4,hip-hop,All In,Lil Baby
2003-03-15,82,81.0,43,20,6tsojOQ5wHaIjKqIryLZK6,One By One (Expanded Edition),74,263440,False,0.577,0.604,5,-5.703,1,0.0495,0.000218,0.000579,0.477,0.637,167.719,4,grunge,All My Life,Foo Fighters
1984-02-25,91,66.0,1,24,1DxT6f6mH7kLriOUWbujup,Can't Slow Down,52,382973,False,0.714,0.583,1,-13.346,1,0.0391,0.273,0.000813,0.0288,0.849,108.822,4,disco,All Night Long (All Night),Lionel Richie
2014-12-06,43,36.0,1,59,3U4isOIWM3VvDubwSI3y7a,Love In The Future (Expanded Edition),85,269560,False,0.422,0.264,8,-7.064,1,0.0322,0.922,0.0,0.132,0.331,119.93,4,soul,All of Me,John Legend
2018-04-21,93,75.0,52,20,5y2j0voADwpD6ZDGSxdnd7,Easy Country,0,224626,False,0.634,0.666,5,-5.489,1,0.029,0.139,0.0,0.216,0.625,80.989,4,country,All on Me,Devin Dawson
1970-11-28,22,14.0,4,16,6S0Vwp6CA0rLVdP7Zi3fOF,On air 70's Hits,0,338426,False,0.785,0.481,2,-11.323,1,0.101,0.0062,2.38e-06,0.122,0.77,119.937,4,blues,All Right Now,Free
1970-11-28,22,14.0,4,16,6S0Vwp6CA0rLVdP7Zi3fOF,On air 70's Hits,0,338426,False,0.785,0.481,2,-11.323,1,0.101,0.0062,2.38e-06,0.122,0.77,119.937,4,blues,All Right Now,Free
1970-11-28,22,14.0,4,16,6S0Vwp6CA0rLVdP7Zi3fOF,On air 70's Hits,0,338426,False,0.785,0.481,2,-11.323,1,0.101,0.0062,2.38e-06,0.122,0.77,119.937,4,blues,All Right Now,Free
1970-11-28,22,14.0,4,16,6S0Vwp6CA0rLVdP7Zi3fOF,On air 70's Hits,0,338426,False,0.785,0.481,2,-11.323,1,0.101,0.0062,2.38e-06,0.122,0.77,119.937,4,blues,All Right Now,Free
1970-11-28,22,14.0,4,16,6S0Vwp6CA0rLVdP7Zi3fOF,On air 70's Hits,0,338426,False,0.785,0.481,2,-11.323,1,0.101,0.0062,2.38e-06,0.122,0.77,119.937,4,blues,All Right Now,Free
